DESCRIPTION,LOCATION,PRICE
4 Bedroom Duplex,"Chevron , Ikota, Lekki","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N6,000,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N7,500,000 per year"
4 Bedroom Flat & Apartment,Ikoyi,"N15,000,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N8,000,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N6,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N5,000,000 per year"
3 Bedroom Duplex,"Lekki County, Ikota, Ikota, Lekki","N3,500,000 per year"
4 Bedroom Duplex,"Ikota Gra, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Duplex,"Orchid , Ikota, Lekki","N7,500,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N3,900,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,500,000 per year"
44 Bedroom Duplex,"Orchid, Ikota, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Orchid , Ikota, Lekki","N3,500,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N10,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N7,000,000 per year"
4 Bedroom Duplex,"Oral Estate , Ikota, Lekki","N6,000,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N5,200,000 per year"
2 Bedroom Flat & Apartment,"Osborne 2 Estate, Ikoyi","N4,500,000 per year"
4 Bedroom Duplex,"Vgc, Ikota, Lekki","N4,000,000 per year"
2 Bedroom Flat & Apartment,"Osborne Phase 1 Foreshore Estate, Ikoyi","N4,000,000 per year"
4 Bedroom Terrace,"Alexander Road Old Ikoyi Lagos, Ikoyi","N10,500,000 per year"
4 Bedroom Duplex,"Estate, Ikota, Lekki","N2,500,000 per year"
4 Bedroom Duplex,"Vgc , Ikota, Lekki","N3,800,000 per year"
4 Bedroom Duplex,"Ikota Gra, Ikota, Lekki","N5,000,000 per year"
Flat & Apartment,"Lekki Phase 1, Lekki","N1,000,000 per year"
3 Bedroom Flat & Apartment,"Bourdillon Road, Ikoyi","N7,000,000 per year"
4 Bedroom Duplex,"Bourdillon Court Estate, Chevron Drive, Lekki","N5,000,000 per year"
5 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N25,000,000 per year"
5 Bedroom Duplex,"Ikota, Lekki","N7,000,000 per year"
4 Bedroom Duplex,"Phase 1, Lekki Phase 1, Lekki","N8,000,000 per year"
4 Bedroom Terrace,"Oniru, Victoria Island","N5,500,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N3,500,000 per year"
3 Bedroom Flat & Apartment,"Park View Estate, Parkview Estate, Ikoyi","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Ikoyi, Banana Island, Ikoyi","N9,000,000 per year"
3 Bedroom Flat & Apartment,"Ajao Estate Anthony, Anthony, Ikorodu Road","N2,100,000 per year"
5 Bedroom Duplex,"Westend Estate, Ikota, Lekki","N6,000,000 per year"
4 Bedroom Duplex,"Riverstone Estate, Off Orchid Road, 2Nd Toll Gate Lekki, Ikota, Lekki","N4,200,000 per year"
2 Bedroom Flat & Apartment,Ikoyi,"N6,000,000 per year"
2 Bedroom Flat & Apartment,"Ikoyi, Banana Island, Ikoyi","N6,500,000 per year"
6 Bedroom Duplex,"Ramat Street, Ogudu G.R.A, Ketu","N7,000,000 per year"
2 Bedroom Flat & Apartment,"Ikoyi, Banana Island, Ikoyi","N10,000,000 per year"
3 Bedroom Flat & Apartment,"Ikoyi, Banana Island, Ikoyi","N12,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
3 Bedroom Flat & Apartment,"Ikoyi, Banana Island, Ikoyi","N12,000,000 per year"
4 Bedroom House,"Orchid Road , Ikota, Lekki","N4,500,000 per year"
4 Bedroom Flat & Apartment,"Mobolaji Johnson, Ikoyi","N42,000,000 per year"
3 Bedroom Flat & Apartment,"Ikoyi , Banana Island, Ikoyi","N8,000,000 per year"
4 Bedroom Duplex,"Ilaje, Ajah","N2,200,000 per year"
3 Bedroom Flat & Apartment,"Ikoyi, Banana Island, Ikoyi","N10,000,000 per year"
2 Bedroom Flat & Apartment,"Bourdillon Road, Ikoyi","N15,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N13,000,000 per year"
4 Bedroom Duplex,"Osapa London , Osapa, Lekki","N5,500,000 per year"
3 Bedroom Flat & Apartment,"Off Queens Drive, Ikoyi","N11,000,000 per year"
4 Bedroom Terrace,"2Nd Toll Gate Chevron, Chevron Drive, Lekki","N4,000,000 per year"
2 Bedroom Flat & Apartment,"Parkview Estate, Ikoyi","N4,000,000 per year"
3 Bedroom Duplex,"Megamound Estate, Ikota, Lekki","N3,500,000 per year"
5 Bedroom Duplex,Ikoyi,"N15,000,000 per year"
2 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N18,000,000 per year"
3 Bedroom Duplex,"Oceanbay Estate Orchid Hotel Road By Second Tollgate, Chevron Drive, Lekki","N3,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
4 Bedroom Duplex,"Peace Estate , Ajah","N4,500,000 per year"
4 Bedroom Duplex,Ajah,"N4,000,000 per year"
2 Bedroom Flat & Apartment,Ikoyi,"N11,000,000 per year"
3 Bedroom Flat & Apartment,"Gerard Road, Ikoyi","N15,000,000 per year"
4 Bedroom Duplex,"Ilaje, Ajah","N2,200,000 per year"
3 Bedroom Flat & Apartment,"Glover Road, Ikoyi","N9,000,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N10,000,000 per year"
3 Bedroom Flat & Apartment,"Off Bourdillon Road, Ikoyi","N10,000,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N12,000,000 per year"
6 Bedroom Duplex,Ikoyi,"N16,000,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N15,500,000 per year"
4 Bedroom Duplex,"Chevron Estate, Chevron Drive, Lekki","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Off 3Rd Avenue, Banana Island, Ikoyi","N15,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki, Lekki Phase 1, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N15,000,000 per year"
3 Bedroom Flat & Apartment,"Off Banana Link Road, Ikoyi","N6,000,000 per year"
4 Bedroom Duplex,"By 2Nd Toll Gate, Chevron Drive, Lekki","N4,500,000 per year"
Flat & Apartment,"Southern View Estate, Chevron Drive, Lekki","N1,400,000 per year"
4 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N18,000,000 per year"
3 Bedroom Flat & Apartment,"Off Alexandra, Ikoyi","N5,000,000 per year"
4 Bedroom Duplex,"Osapa London , Osapa, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N6,000,000 per year"
4 Bedroom Terrace,"Lekki Pennisula, Lekki Phase 1, Lekki","N8,000,000 per year"
3 Bedroom Flat & Apartment,"Oba Elegushi/Club Road, Ikoyi, Ikoyi","N16,000,000 per year"
4 Bedroom House,"Lekki, Lekki Phase 1, Lekki","N18,000,000 per year"
4 Bedroom Duplex,Ajah,"N4,000,000 per year"
4 Bedroom Duplex,"Lekki Phase 1, Lekki","N16,000,000 per year"
4 Bedroom Terrace,"Oniru, Victoria Island","N8,000,000 per year"
4 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
4 Bedroom Duplex,"Parkview , Parkview Estate, Ikoyi","N9,000,000 per year"
4 Bedroom Duplex,Ikoyi,"N10,000,000 per year"
4 Bedroom Duplex,"Chevron, Chevron Drive, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Jakande, Lekki","N4,000,000 per year"
8 Bedroom Duplex,Ikoyi,"N40,000,000 per year"
